gamma,max_new_tokens,runtime_temperature,speedup,acceptance_rate,avg_accepted_tokens,tokens_per_second,sd_time_s,vanilla_time_s
1,128,1.5,1.15290181357218,0.7389915385943706,0.7389915385943706,592.834212385782,10.795598273999834,12.446264828691104
1,256,1.5,1.115051090614512,0.6741764168948635,0.6741764168948635,575.299064122367,22.249297449365255,24.809103386321414
1,512,1.5,1.059551815496894,0.633371547681084,0.633371547681084,523.5950681269118,47.07454577098057,49.87792043533409
2,128,1.5,0.9810093929919234,0.6370249238750423,1.2740498477500846,503.78489241828754,12.70383470468611,12.462581172313852
2,256,1.5,0.937185240153519,0.5542769166536193,1.108553833307239,483.7356385578526,26.46073387968742,24.79860923567321
2,512,1.5,0.9338111396112226,0.5209015554645927,1.0418031109291854,471.6117741414102,53.42529890368072,49.889139253316294
4,128,1.5,0.6208622566749847,0.4863113441095092,1.945245376438037,318.7195905246821,20.080347083353747,12.467129604987957
4,256,1.5,0.5596202364139915,0.3915139214815754,1.5660556859263015,288.4972114017824,44.367846530668125,24.82914476467219
4,512,1.5,0.5468572082874357,0.3568297079310766,1.4273188317243064,275.1011432655102,91.2246299746524,49.88684647499273
6,128,1.5,0.4477190205788219,0.3704999734902709,2.2229998409416254,229.99558627838096,27.82662095199339,12.458507478644606
6,256,1.5,0.4041533123488518,0.2924400027194235,1.754640016316541,208.55542920577895,61.37457101330316,24.804736169016294
6,512,1.5,0.3718183158931118,0.262276821747974,1.5736609304878442,187.78296415232788,134.09629629434008,49.85945905566526
8,128,1.5,0.3503836014092278,0.300852797849101,2.406822382792808,179.97560106485923,35.56037575167526,12.459772523337357
8,256,1.5,0.3073748672696882,0.2317464232856438,1.8539713862851503,158.38846319348576,80.81396676198347,24.84018230700167
8,512,1.5,0.2839634155385374,0.2048326359832636,1.6386610878661088,141.48844159920728,175.632721083976,49.87326735933311
