max_new_tokens,gamma,runtime_temperature,speedup,acceptance_rate,avg_accepted_tokens,tokens_per_second
128,1,0.0,1.1844171881813688,0.7700290211942661,0.7700290211942661,625.6537083507654
256,1,0.0,1.1936593451279154,0.7215962441314554,0.7215962441314554,634.1975885880727
512,1,0.0,1.1861996019875325,0.7037037037037037,0.7037037037037037,610.1997299247466
